Orig,Dest,Departs,Arrives,Fleet,Flight,DOW,Start Date,End Date,Orig Lat,Orig Lng,Dest Lat,Dest Lng,Orig--Lat,Orig--Lng,Dest--Lat,Dest--Lng
ATL,AMS,15:15,6:00,A330,DL0070,DAILY,1-Oct-23,27-Oct-23,33.6407,-84.4277,52.3105,4.7683,33.6407,-84.4277,52.3105,4.7683
ATL,AMS,17:30,8:10,A330,DL0072,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,52.3105,4.7683,33.6407,-84.4277,52.3105,4.7683
ATL,AMS,19:45,10:35,A350,DL0074,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,52.3105,4.7683,33.6407,-84.4277,52.3105,4.7683
ATL,ATH,17:10,10:55,A350,DL0222,DAILY,1-Oct-23,27-Oct-23,33.6407,-84.4277,37.9356,23.9484,33.6407,-84.4277,37.9356,23.9484
ATL,BCN,17:45,9:10,A350,DL0194,DAILY,1-Oct-23,30-Oct-23,33.6407,-84.4277,41.2974,2.0833,33.6407,-84.4277,41.2974,2.0833
ATL,CDG,15:55,6:10,A350,DL0082,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,49.0097,2.5479,33.6407,-84.4277,49.0097,2.5479
ATL,CDG,22:00,13:20,B767,DL0084,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,49.0097,2.5479,33.6407,-84.4277,49.0097,2.5479
ATL,CDG,18:40,9:15,B767,DL0088,1.3.5.7,1-Oct-23,30-Oct-23,33.6407,-84.4277,49.0097,2.5479,33.6407,-84.4277,49.0097,2.5479
ATL,CPT,20:40,17:50,A350,DL0210,1..4.6.,2-Oct-23,30-Oct-23,33.6407,-84.4277,33.9715,18.6021,33.6407,-84.4277,33.9715,18.6021
ATL,DUB,20:05,8:45,A350,DL0176,DAILY,1-Oct-23,27-Oct-23,33.6407,-84.4277,53.4213,-6.2701,33.6407,-84.4277,53.4213,-6.2701
ATL,DUS,17:55,8:35,B767,DL0090,.2.4.6.,3-Oct-23,26-Oct-23,33.6407,-84.4277,51.2895,6.7668,33.6407,-84.4277,51.2895,6.7668
ATL,FCO,18:50,10:35,A330,DL0066,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,41.8003,12.2389,33.6407,-84.4277,41.8003,12.2389
ATL,FCO,16:30,8:15,A330,DL0214,DAILY,1-Oct-23,27-Oct-23,33.6407,-84.4277,41.8003,12.2389,33.6407,-84.4277,41.8003,12.2389
ATL,FRA,18:50,9:50,A330,DL0014,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,50.0379,8.5622,33.6407,-84.4277,50.0379,8.5622
ATL,JNB,17:45,19:00,A350,DL0200,DAILY,1-Oct-23,30-Oct-23,33.6407,-84.4277,26.1392,28.246,33.6407,-84.4277,26.1392,28.246
ATL,JNB,17:45,15:05,A350,DL0024,.2....7,29-Oct-23,31-Oct-23,33.6407,-84.4277,26.1392,28.246,33.6407,-84.4277,26.1392,28.246
ATL,LHR,17:35,7:15,B767,DL0030,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,51.47,-0.4543,33.6407,-84.4277,51.47,-0.4543
ATL,LHR,21:55,11:10,B767,DL0032,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,51.47,-0.4543,33.6407,-84.4277,51.47,-0.4543
ATL,LOS,17:30,11:00,A330,DL0054,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,6.5774,3.3212,33.6407,-84.4277,6.5774,3.3212
ATL,MAD,18:10,8:45,B767,DL0108,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,40.4983,-3.5676,33.6407,-84.4277,40.4983,-3.5676
ATL,MUC,18:30,9:30,B767,DL0130,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,48.3538,11.7861,33.6407,-84.4277,48.3538,11.7861
ATL,MXP,17:50,9:30,A350,DL0174,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,45.6301,8.7281,33.6407,-84.4277,45.6301,8.7281
ATL,STR,17:45,8:40,B767,DL0116,1.3.5.7,1-Oct-23,27-Oct-23,33.6407,-84.4277,48.6907,9.1936,33.6407,-84.4277,48.6907,9.1936
ATL,TLV,14:10,9:15,A350,DL0248,DAILY,1-Oct-23,31-Oct-23,33.6407,-84.4277,32.0055,34.8854,33.6407,-84.4277,32.0055,34.8854
ATL,VCE,19:40,11:15,B767,DL0192,DAILY,1-Oct-23,27-Oct-23,33.6407,-84.4277,45.5053,12.3519,33.6407,-84.4277,45.5053,12.3519
BOS,AMS,17:15,6:15,A330,DL0256,DAILY,1-Oct-23,27-Oct-23,42.3656,-71.0096,52.3105,4.7683,42.3656,-71.0096,52.3105,4.7683
BOS,AMS,19:00,8:15,A330,DL0258,DAILY,1-Oct-23,31-Oct-23,42.3656,-71.0096,52.3105,4.7683,42.3656,-71.0096,52.3105,4.7683
BOS,ATH,16:40,8:55,A330,DL0240,1.3.5.7,1-Oct-23,27-Oct-23,42.3656,-71.0096,37.9356,23.9484,42.3656,-71.0096,37.9356,23.9484
BOS,CDG,18:55,9:30,A330,DL0224,DAILY,1-Oct-23,31-Oct-23,42.3656,-71.0096,49.0097,2.5479,42.3656,-71.0096,49.0097,2.5479
BOS,DUB,20:30,8:25,B767,DL0154,DAILY,1-Oct-23,31-Oct-23,42.3656,-71.0096,53.4213,-6.2701,42.3656,-71.0096,53.4213,-6.2701
BOS,EDI,21:10,8:35,B767,DL0122,DAILY,1-Oct-23,27-Oct-23,42.3656,-71.0096,55.95,-3.3725,42.3656,-71.0096,55.95,-3.3725
BOS,FCO,17:00,7:00,A330,DL0112,DAILY,1-Oct-23,30-Oct-23,42.3656,-71.0096,41.8003,12.2389,42.3656,-71.0096,41.8003,12.2389
BOS,LHR,19:30,7:05,B767,DL0058,DAILY,1-Oct-23,31-Oct-23,42.3656,-71.0096,51.47,-0.4543,42.3656,-71.0096,51.47,-0.4543
BOS,LIS,20:50,11:00,B767,DL0124,DAILY,1-Oct-23,31-Oct-23,42.3656,-71.0096,38.7756,-9.1354,42.3656,-71.0096,38.7756,-9.1354
BOS,TLV,16:20,10:20,A330,DL0242,.2.4.6.,3-Oct-23,31-Oct-23,42.3656,-71.0096,32.0055,34.8854,42.3656,-71.0096,32.0055,34.8854
CVG,CDG,18:50,9:15,B767,DL0228,.2.4.6.,3-Oct-23,31-Oct-23,39.0469,-84.6622,49.0097,2.5479,39.0469,-84.6622,49.0097,2.5479
DTW,AMS,16:00,6:00,A350,DL0132,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,52.3105,4.7683,42.2162,-83.3554,52.3105,4.7683
DTW,AMS,18:30,8:15,A330,DL0134,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,52.3105,4.7683,42.2162,-83.3554,52.3105,4.7683
DTW,AMS,21:50,12:20,A330,DL0136,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,52.3105,4.7683,42.2162,-83.3554,52.3105,4.7683
DTW,CDG,18:15,8:15,A330,DL0098,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,49.0097,2.5479,42.2162,-83.3554,49.0097,2.5479
DTW,FCO,17:45,8:45,A330,DL0206,DAILY,1-Oct-23,27-Oct-23,42.2162,-83.3554,41.8003,12.2389,42.2162,-83.3554,41.8003,12.2389
DTW,FRA,18:25,8:40,A330,DL0086,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,50.0379,8.5622,42.2162,-83.3554,50.0379,8.5622
DTW,LHR,18:45,7:15,A330,DL0016,DAILY,1-Oct-23,31-Oct-23,42.2162,-83.3554,51.47,-0.4543,42.2162,-83.3554,51.47,-0.4543
DTW,LHR,21:25,11:00,A330,DL0018,123.56.,2-Oct-23,31-Oct-23,42.2162,-83.3554,51.47,-0.4543,42.2162,-83.3554,51.47,-0.4543
DTW,MUC,17:55,8:20,B767,DL0022,DAILY,1-Oct-23,27-Oct-23,42.2162,-83.3554,48.3538,11.7861,42.2162,-83.3554,48.3538,11.7861
JFK,ACC,23:50,14:15,B767,DL0156,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,5.6052,-0.1668,40.6413,-73.7781,5.6052,-0.1668
JFK,AMS,16:45,6:15,A330,DL0046,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,52.3105,4.7683,40.6413,-73.7781,52.3105,4.7683
JFK,AMS,19:30,9:15,A330,DL0048,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,52.3105,4.7683,40.6413,-73.7781,52.3105,4.7683
JFK,ARN,17:45,8:00,B767,DL0204,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,59.6519,17.9186,40.6413,-73.7781,59.6519,17.9186
JFK,ATH,15:15,8:30,A330,DL0202,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,37.9356,23.9484,40.6413,-73.7781,37.9356,23.9484
JFK,ATH,20:15,13:15,B767,DL0212,1.3.5.7,1-Oct-23,27-Oct-23,40.6413,-73.7781,37.9356,23.9484,40.6413,-73.7781,37.9356,23.9484
JFK,BCN,17:30,12:05,B767,DL0168,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,41.2974,2.0833,40.6413,-73.7781,41.2974,2.0833
JFK,BER,17:00,7:05,B767,DL0092,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,52.3667,13.5033,40.6413,-73.7781,52.3667,13.5033
JFK,BRU,19:00,9:00,B767,DL0140,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,50.9014,4.4844,40.6413,-73.7781,50.9014,4.4844
JFK,CDG,19:30,9:00,B767,DL0262,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,49.0097,2.5479,40.6413,-73.7781,49.0097,2.5479
JFK,CDG,22:30,12:00,B767,DL0264,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,49.0097,2.5479,40.6413,-73.7781,49.0097,2.5479
JFK,CPH,21:50,11:40,B767,DL0218,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,55.618,12.6508,40.6413,-73.7781,55.618,12.6508
JFK,DSS,20:40,9:30,B767,DL0216,.2.4.6.,3-Oct-23,31-Oct-23,40.6413,-73.7781,14.6708,-17.0733,40.6413,-73.7781,14.6708,-17.0733
JFK,DUB,21:35,9:15,B767,DL0044,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,53.4213,-6.2701,40.6413,-73.7781,53.4213,-6.2701
JFK,EDI,22:15,10:05,B767,DL0208,DAILY,1-Oct-23,30-Oct-23,40.6413,-73.7781,55.95,-3.3725,40.6413,-73.7781,55.95,-3.3725
JFK,FCO,22:30,13:05,B767,DL0148,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,41.8003,12.2389,40.6413,-73.7781,41.8003,12.2389
JFK,FCO,16:55,7:30,A330,DL0182,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,41.8003,12.2389,40.6413,-73.7781,41.8003,12.2389
JFK,FCO,19:00,10:20,A330,DL0230,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,41.8003,12.2389,40.6413,-73.7781,41.8003,12.2389
JFK,FRA,18:55,8:55,A330,DL0106,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,50.0379,8.5622,40.6413,-73.7781,50.0379,8.5622
JFK,GVA,20:55,10:50,B767,DL0100,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,46.238,6.109,40.6413,-73.7781,46.238,6.109
JFK,LGW,23:45,12:10,B767,DL0062,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,51.1537,-0.1821,40.6413,-73.7781,51.1537,-0.1821
JFK,LHR,19:30,7:55,B767,DL0001,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,51.47,-0.4543,40.6413,-73.7781,51.47,-0.4543
JFK,LHR,22:00,10:30,A330,DL0003,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,51.47,-0.4543,40.6413,-73.7781,51.47,-0.4543
JFK,LIS,19:50,8:00,B767,DL0272,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,38.7756,-9.1354,40.6413,-73.7781,38.7756,-9.1354
JFK,MAD,17:59,7:45,B767,DL0126,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,40.4983,-3.5676,40.6413,-73.7781,40.4983,-3.5676
JFK,MXP,19:45,9:55,B767,DL0184,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,45.6301,8.7281,40.6413,-73.7781,45.6301,8.7281
JFK,MXP,16:45,6:45,A330,DL0198,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,45.6301,8.7281,40.6413,-73.7781,45.6301,8.7281
JFK,NCE,17:30,8:15,A330,DL0028,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,43.6584,7.2159,40.6413,-73.7781,43.6584,7.2159
JFK,TLV,23:45,17:35,A330,DL0234,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,32.0055,34.8854,40.6413,-73.7781,32.0055,34.8854
JFK,VCE,19:05,9:35,B767,DL0288,DAILY,1-Oct-23,27-Oct-23,40.6413,-73.7781,45.5053,12.3519,40.6413,-73.7781,45.5053,12.3519
JFK,ZRH,20:45,10:35,B767,DL0052,DAILY,1-Oct-23,31-Oct-23,40.6413,-73.7781,47.4582,8.5555,40.6413,-73.7781,47.4582,8.5555
